"X","group","names","scores","logfoldchanges","pvals","pvals_adj","cluster","avg_log2FC","p_val_adj","gene"
45603,1,"arahy.Tifrunner.gnm2.ann2.Ah11g098900",19.42555,2.8102214,4.6933332557235e-84,2.34790443003909e-81,1,2.8102214,2.34790443003909e-81,"arahy.Tifrunner.gnm2.ann2.Ah11g098900"
45604,1,"arahy.Tifrunner.gnm2.ann2.Ah06g385500",19.424067,2.984414,4.8308455114697e-84,2.39042838113203e-81,1,2.984414,2.39042838113203e-81,"arahy.Tifrunner.gnm2.ann2.Ah06g385500"
45605,1,"arahy.Tifrunner.gnm2.ann2.Ah02g324600",18.94864,3.0446315,4.531432248648e-80,2.21816044825217e-77,1,3.0446315,2.21816044825217e-77,"arahy.Tifrunner.gnm2.ann2.Ah02g324600"
45606,1,"arahy.Tifrunner.gnm2.ann2.Ah05g069400",18.838333,3.0385435,3.66317810463311e-79,1.77406936207785e-76,1,3.0385435,1.77406936207785e-76,"arahy.Tifrunner.gnm2.ann2.Ah05g069400"
45607,1,"arahy.Tifrunner.gnm2.ann2.Ah01g328300",18.747395,3.3948624,2.03313862585942e-78,9.74280029511832e-76,1,3.3948624,9.74280029511832e-76,"arahy.Tifrunner.gnm2.ann2.Ah01g328300"
45608,1,"STRG.1624",18.64484,2.7720296,1.39067944885776e-77,6.5267310546186e-75,1,2.7720296,6.5267310546186e-75,"STRG.1624"
45609,1,"STRG.5798",18.569143,2.4181871,5.71063979008653e-77,2.65276699799897e-74,1,2.4181871,2.65276699799897e-74,"STRG.5798"
45610,1,"STRG.4533",18.522093,2.5500546,1.3700517872125e-76,6.30002399606684e-74,1,2.5500546,6.30002399606684e-74,"STRG.4533"
45611,1,"arahy.Tifrunner.gnm2.ann2.Ah07g271800",18.281155,3.2353847,1.16925575756063e-74,5.32291991071903e-72,1,3.2353847,5.32291991071903e-72,"arahy.Tifrunner.gnm2.ann2.Ah07g271800"
45612,1,"STRG.3858",18.00657,1.0150565,1.7302194219219e-72,7.79866425381906e-70,1,1.0150565,7.79866425381906e-70,"STRG.3858"
45613,1,"arahy.Tifrunner.gnm2.ann2.Ah05g434900",17.487139,3.5139854,1.79546985328774e-68,7.93562811660883e-66,1,3.5139854,7.93562811660883e-66,"arahy.Tifrunner.gnm2.ann2.Ah05g434900"
45614,1,"arahy.Tifrunner.gnm2.ann2.Ah12g358400",17.387037,3.5985062,1.03446848335411e-67,4.52818684963581e-65,1,3.5985062,4.52818684963581e-65,"arahy.Tifrunner.gnm2.ann2.Ah12g358400"
45615,1,"arahy.Tifrunner.gnm2.ann2.Ah13g539200",17.244793,1.720275,1.22450531255944e-66,5.30898855704343e-64,1,1.720275,5.30898855704343e-64,"arahy.Tifrunner.gnm2.ann2.Ah13g539200"
